YEAR,FILED,TOLID,OFFICE,CANAL,AREA,VARITE,AGE,Y,TON
1401,08-25,1,2,08,23.43,CP69,R1,27.95,654.89
1401,08-27,1,2,08,23.56,CP69,R1,33.58,791.21
1401,08-29,1,2,08,23.49,CP69,R2,23.53,552.73
1401,08-31,1,2,08,20.92,CP69,R1,23.76,497.09
1401,09-02,1,1,09,24.48,CP69,R1,34.87,853.52
1401,09-04,1,1,09,23.68,CP69,R1,30.32,717.95
1401,09-06,1,1,09,23.25,CP48,R1,15.80,367.46
1401,09-08,1,1,09,23.47,CP48,R1,19.15,449.54
1401,09-10,1,1,09,23.48,CP69,R3,36.56,858.41
1401,09-12,1,1,09,23.25,CP69,R3,38.08,885.40
1401,09-16,1,1,09,22.82,CP73,R1,34.03,776.62
1401,09-18,1,1,09,23.21,CP69,R1,41.56,964.53
1401,09-20,1,1,09,23.58,CP69,R3,23.98,565.55
1401,09-24,1,1,09,23.77,CP69,R1,43.36,1030.55
1401,09-26,1,1,09,23.60,CP69,R3,28.10,663.26
1401,09-28,1,1,09,22.39,CP69,R3,30.99,693.87
1401,09-30,1,1,09,14.02,CP69,R4,19.69,276.02
1401,10-01,1,2,10,24.10,CP73,R2,NOT FOUND,NOT FOUND
1401,10-03,1,2,10,23.39,CP73,R2,NOT FOUND,NOT FOUND
1401,10-05,1,2,10,24.10,CP73,R2,NOT FOUND,NOT FOUND
1401,10-07,1,2,10,23.90,CP73,R2,NOT FOUND,NOT FOUND
1401,10-13,1,2,10,23.50,CP73,R2,NOT FOUND,NOT FOUND
1401,10-15,1,2,10,22.70,CP69,R2,23.22,527.20
1401,10-17,1,2,10,22.70,CP69,R2,23.48,532.94
1401,10-19,1,2,10,23.80,CP69,R2,21.12,502.75
1401,10-21,1,2,10,23.60,CP69,R2,23.17,546.92
1401,10-23,1,2,10,23.55,CP69,R2,12.29,289.43
1401,10-25,1,2,10,23.80,CP69,R2,10.61,252.53
1401,10-27,1,2,10,23.94,CP69,R2,12.13,290.33
1401,10-31,1,2,10,7.21,CP69,R2,28.91,208.47
1401,11-02,1,1,11,23.37,CP69,R1,37.40,874.08
1401,11-04,1,1,11,23.13,CP69,R1,42.27,977.60
1401,11-06,1,1,11,23.00,CP69,R2,42.81,984.57
1401,11-08,1,1,11,23.18,CP69,R3,34.22,496.22
1401,11-10,1,1,11,2.77,CP48,R2,50.60,140.17
1401,11-10,1,1,11,19.67,CP73,R1,50.32,989.71
1401,11-12,1,1,11,11.06,IRC,R2,40.46,447.51
1401,11-12,1,1,11,11.80,IRC,R1,41.92,494.66
1401,11-14,1,1,11,22.95,CP73,R1,40.27,924.13
1401,11-16,1,1,11,22.61,CP69,R4,NOT FOUND,NOT FOUND
1401,11-22,1,1,11,22.99,CP73,P,59.27,1362.55
1401,11-24,1,1,11,22.82,CP73,P,64.89,1480.89
1401,11-26,1,1,11,22.89,CP69,P,65.05,1488.89
1401,11-30,1,1,11,9.52,CP69,R3,53.43,508.69
1401,12-10,1,2,12,23.60,CP73,R2,NOT FOUND,NOT FOUND
1401,12-12,1,2,12,23.81,CP73,R2,NOT FOUND,NOT FOUND
1401,12-14,1,2,12,23.65,CP73,R2,NOT FOUND,NOT FOUND
1401,12-15,1,2,12,20.10,CP69,R2,40.06,805.12
1401,12-16,1,2,12,22.20,CP69,R2,14.85,329.58
1401,12-18,1,2,12,22.91,CP69,R2,21.27,487.23
1401,12-19,1,2,12,23.50,CP73,R2,NOT FOUND,NOT FOUND
1401,12-20,1,2,12,23.50,CP69,R2,22.02,517.58
1401,12-21,1,2,12,23.70,CP73,R2,NOT FOUND,NOT FOUND
1401,12-22,1,2,12,23.46,CP69,R2,10.57,247.89
1401,12-23,1,2,12,10.49,CP69,R2,14.09,147.81
1401,12-23,1,2,12,13.17,CP69,R1,15.79,207.98
1401,12-24,1,2,12,23.41,CP69,R2,6.02,140.94
1401,12-25,1,2,12,23.46,CP69,R2,21.10,494.90
1401,12-26,1,2,12,11.41,CP69,R2,16.06,183.25
1401,12-26,1,2,12,11.89,CP69,R1,16.91,201.05
1401,12-27,1,2,12,3.69,CP69,R2,22.81,84.18
1401,12-27,1,2,12,20.92,CP69,R1,26.40,552.39
1401,12-28,1,2,12,9.07,CP69,R1,14.04,127.34
1401,12-28,1,2,12,14.63,CP69,R2,12.53,183.36
1401,12-30,1,2,12,14.40,CP69,R2,19.34,278.43
1401,13-02,1,1,13,10.00,CP69,R1,37.17,371.69
1401,13-02,1,1,13,12.94,CP69,R4,29.47,381.35
1401,13-04,1,1,13,23.06,CP69,R1,63.33,1460.32
1401,13-06,1,1,13,10.00,CP69,R1,27.57,275.66
1401,13-06,1,1,13,12.79,CP69,R3,23.59,301.77
1401,13-08,1,1,13,10.00,CP69,R1,36.01,360.12
1401,13-08,1,1,13,12.73,CP69,R3,33.25,423.31
1401,13-10,1,1,13,22.65,CP69,R3,28.68,649.71
1401,13-12,1,1,13,22.83,CP69,R4,22.95,523.95
1401,13-14,1,1,13,22.93,CP69,R3,46.25,1060.50
1401,13-18,1,1,13,21.94,CP69,R4,NOT FOUND,NOT FOUND
1401,13-20,1,1,13,22.19,CP69,R4,NOT FOUND,NOT FOUND
1401,13-24,1,1,13,22.60,CP69,R3,30.16,681.51
1401,13-26,1,1,13,22.91,CP69,R4,23.30,533.88
1401,13-28,1,1,13,15.19,CP69,R3,28.55,433.69
1401,14-01,2,4,14,4.64,CP73,R2,NOT FOUND,NOT FOUND
1401,14-01,2,4,14,19.39,CP73,R1,NOT FOUND,NOT FOUND
1401,14-02,2,4,14,24.21,CP69,R2,21.21,513.59
1401,14-04,2,4,14,23.48,CP69,R2,19.06,447.45
1401,14-06,2,4,14,23.40,CP69,R2,26.18,612.54
1401,14-08,2,4,14,23.74,CP73,R1,25.69,609.88
1401,14-10,2,4,14,23.82,CP69,R2,25.09,597.74
1401,14-12,2,4,14,23.52,CP69,R2,20.70,486.96
1401,14-13,2,4,14,23.65,CP73,R2,NOT FOUND,NOT FOUND
1401,14-14,2,4,14,23.80,CP69,R2,21.32,507.46
1401,14-15,2,4,14,22.37,CP69,R2,29.15,651.98
1401,14-16,2,4,14,22.38,CP69,R2,26.37,590.18
1401,14-17,2,4,14,10.98,CP69,R2,40.28,442.31
1401,14-17,2,4,14,11.50,CP69,R1,46.64,536.36
1401,14-18,2,4,14,22.66,CP73,R1,44.04,997.99
1401,14-19,2,4,14,23.39,CP69,R1,20.41,477.48
1401,14-20,2,4,14,23.47,CP69,R1,31.45,738.08
1401,14-21,2,4,14,23.55,CP69,R2,19.05,448.53
1401,14-22,2,4,14,23.82,CP69,R2,20.26,482.71
1401,14-23,2,4,14,23.40,CP69,R4,15.57,364.30
1401,14-24,2,4,14,23.57,CP69,R2,16.37,343.83
1401,14-25,2,4,14,23.50,CP69,R4,10.95,257.24
1401,14-26,2,4,14,10.61,CP69,R2,10.76,107.61
1401,14-26,2,4,14,12.29,CP69,R1,12.43,152.81
1401,14-27,2,4,14,18.82,CP69,R3,6.53,122.98
1401,14-28,2,4,14,19.70,CP69,R1,11.83,212.93
1401,15-02,2,3,15,24.56,CP69,R2,11.92,292.83
1401,15-04,2,3,15,23.60,CP69,R2,12.20,288.03
1401,15-06,2,3,15,23.61,CP73,R2,NOT FOUND,NOT FOUND
1401,15-08,2,3,15,23.34,CP48,R1,NOT FOUND,NOT FOUND
1401,15-10,2,3,15,23.57,CP73,R2,16.12,379.88
1401,15-12,2,3,15,9.64,CP73,R2,42.44,409.11
1401,15-12,2,3,15,13.86,CP73,R1,47.88,663.62
1401,15-13,2,3,15,23.45,CP73,R1,38.91,912.53
1401,15-14,2,3,15,23.76,CP73,R2,34.50,819.63
1401,15-15,2,3,15,23.27,CP69,R1,43.90,1021.61
1401,15-16,2,3,15,23.30,CP69,P,48.58,1131.88
1401,15-17,2,3,15,22.17,CP69,P,64.53,1430.60
1401,15-18,2,3,15,23.11,CP69,P,52.92,1223.09
1401,15-19,2,3,15,23.62,CP73,P,79.41,1875.64
1401,15-20,2,3,15,23.43,CP73,P,59.73,1399.52
1401,15-21,2,3,15,23.65,CP73,R1,50.09,1184.63
1401,15-22,2,3,15,23.58,CP57,R1,37.59,886.42
1401,15-23,2,3,15,23.88,CP73,R1,58.33,1392.85
1401,15-24,2,3,15,23.64,CP73,R1,50.08,1183.83
1401,15-25,2,3,15,23.33,CP69,R1,54.23,1265.25
1401,15-26,2,3,15,23.57,CP69,P,79.28,1868.72
1401,15-27,2,3,15,15.52,CP69,R5,14.14,219.52
1401,15-28,2,3,15,16.31,CP69,P,75.93,1238.46
1401,16-01,2,4,16,24.10,CP73,R2,16.15,389.11
1401,16-03,2,4,16,23.60,CP48,R2,9.26,195.39
1401,16-04,2,4,16,23.42,CP48,R2,NOT FOUND,NOT FOUND
1401,16-05,2,4,16,23.50,CP48,R2,NOT FOUND,NOT FOUND
